title,link,start_date,end_date,hours,ages,Indoor/Outdoor,Category,website,location,phone,description,cost
Weaving an Address,https://www.bostoncentral.com/events/artsculture/p82312.php,04/14/2025,06/14/2025,All Day,"Kids, Teens, Adults","Indoor, Outdoor",Arts & Culture,https://www.bostoncentral.com/fwd.php?pgx=tavinrJ%2Fteb.fgeNnyyreozHruG%2F%2F%3Afcggu,40 STOW ST. CONCORD MA,978,"The Umbrella Arts Center in historic Concord Center will commemorate the semiquincentennial of the American Revolution and “the shot heard round the world” with an ambitious outdoor/indoor public and gallery art exhibition, Weaving an Address, curated by artist Marla McLeod. For the first time, Weaving an Address combines The Umbrella’s popular Art Ramble public art installation, on view April 15 through October 7 at Brister’s Hill in nearby Walden Woods, with an indoor exhibition on view April 14 through June 14 in The Umbrella’s Allie Kussin Gallery. The exhibition features site-specific work by eight prominent Black artists combining sculpture, fiber art, installation and live performance inspired by little-known experiences of historical Black inhabitants of Concord and its Walden Woods. Featured artists in the exhibition are Ifé Franklin, Stephen Hamilton, Whitney Harris, Ekua Holmes, Perla Mabel, Marla McLeod, Kimberly Love Radcliffe, and Anthony Peyton Young. Outdoors, large-scale work will be installed on Brister’s Hill, named for Brister Freeman, an enslaved man who won his freedom by serving in the Revolutionary War and then bought the property and lived there along with other formerly enslaved. Indoors at The Umbrella, inter-related fiber artworks will weave narratives from fragmented pasts to offer a vision of how history shapes the present and influences the future. Supporting community activities include an opening reception on April 14, monthly curator talks, a processional with artist Ifé Franklin, and participation in the town-wide Revolutionary Concordians Trading Card program. This exhibition is presented as part of the Concord250 commemoration, in partnership with The Walden Woods Project and The Robbins House, in association with Gather 2025, a month-long exploration and celebration of fiber and textile art in Greater Boston, and with permission of Concord Natural Resources Division. See https://TheUmbrellaArts.org/Weaving for more information about special engagements, wayfinding, artist bios, and background to the exhibition. ACCESS: The Umbrella is wheelchair accessible, with ADA parking and marked all-gender bathrooms available. There is assessed parking for visitors to the Brister's Hill site on Walden Street, just north of the intersection with Route 2. More details on our website.",Free
Bonsai Workshop at Old Planters Brewery,https://www.bostoncentral.com/events/special/p81621.php,04/15/2025,05/20/2025,7:00 pm to 9:00 pm Timezone: EDT,Adults,Indoor,Special Events,https://www.bostoncentral.com/fwd.php?pgx=lerjreo-ferganyc-qyb%2Ffgphqbec%2Fzbp.enovnfabo%2F%2F%3Afcggu,OLD PLANTERS BREWERY  232 RANTOUL ST BEVERLY MA,401,"Beginner workshops are perfect for you to grab your friends, grab a drink and come make tiny trees! We’re bringing the awesome art of bonsai out of the hedged in gardens and into the streets! Or at least into your favorite bars/breweries/pubs. Bonsai Bar is a night of fun you don’t want to miss. Learn the fundamental skills and techniques behind the art of bonsai while enjoying a night out with friends! Our teachers will introduce core concepts and guide your experience as you pot, prune, and design your very own bonsai tree! Our Guarantee: These tiny trees are so hardy we guarantee you can keep yours alive, or we’ll replace it. This workshop will be hosted at Old Planters Brewery. Our goal has always been to be firmly rooted in our community with everything we do. Whether it’s collaborating with other local businesses in our area (FRANK / Crave / Wandering Soul/ Fat Tuna Charters/ Half Baked) or giving back to the place that has given us so much (Beverly Hospital/HarborLight community partners) . This idea of community rings true in our taproom as well. Our space has become a meeting place to hear local musicians, enjoy local artists, and get a taste of various foods in the Beverly area . It’s also a space where we would like ALL members of our community to feel welcome and accepted. For many, craft breweries can sometimes feel exclusive and intimidating for those that don’t consider themselves “beer nerds” and this is a notion we will always work hard to dispel. We believe beer should be fun/accepting and our goal is to always have a variety of beers that speak to a wide audience. Under 21 policy: Please contact Old Planters Brewery for details regarding underage entry For more about Bonsai Bar and what to expect at our classes, visit our website .",$85.00
Happy Birthday Leonardo da Vinci! at Discovery Museum,https://www.bostoncentral.com/events/artsculture/p81999.php,04/15/2025,04/17/2025,Hours Varysee below,"Toddlers, Kids, Teens, Adults",Indoor,Arts & Culture,https://www.bostoncentral.com/fwd.php?pgx=1-vpavi-nq-bqenabry-lnqugevo-lccnu%2Ffznetbec-fgarir%2Fteb.abgpnleribpfvq.jjj%2F%2F%3Afcggu,"DISCOVERY MUSEUM, 177 MAIN STREET (ROUTE 27) ACTON MA",9782644200,"Tuesday, April 15 through Thursday, April 17 | 9:00am – 4:00pm Join Discovery Museum as we celebrate Leonardo da Vinci’s birthday. Born on April 15, 1452, Leonardo da Vinci was an inventor, artist, engineer, and mathematician who spent his lifetime following his curiosity and exploring a wide variety of interests. Be inspired by da Vinci’s passion for flight as you build paper helicopters at our Wind Table, try a bridge building challenge in da Vinci Workshop, go on a scavenger hunt to discover some of da Vinci’s most visionary inventions, and practice your hand at writing backwards like da Vinci. HOURS ↑ top Tuesday, April 15 through Thursday, April 17 | 9:00 am – 4:00 pm",Free
Keeping It Moving to a Better You (with Mitzi Carrasquillo and Leslie Guity),https://www.bostoncentral.com/events/learn/p82303.php,04/15/2025,04/15/2025,4:00 pm - 5:30 pm,"Kids, Teens",Indoor,Learn Something,https://www.bostoncentral.com/fwd.php?pgx=59467n0003782s3554p6pq76%2Ffgarir%2Fzbp.fabzzbpbvyovo.yco%2F%2F%3Afcggu,"CODMAN SQUARE, 690 WASHINTON ST. DORCHESTER MA",N/A,"In observance of Sexual Assault Awareness Month in April, please join us for an educational workshop geared towards middle and high school girls (grades 6-12). Presenters author Mitzi Carrasquillo and author Leslie Guity will be covering the following topics: sexual assault awareness, self esteem, self confidence, and loving yourself. Each attendee will receive a gift from the presenters. Registration is required for this workshop. Please RSVP to either Mitzi Carrasquillo at 301.536.3662, mitzicarrasquillo@gmail.com OR Leslie Guity at 617.605.3097, orangestic1@yahoo.com. Thank you! For more information on Sexual Assault Awareness Month, please visit https://www.nsvrc.org/saam . Suitable for: Teens (Ages 13-18) | Tweens (Ages 9-12) WEBSITE ↑ top bpl.bibliocommons.com/events/67dc6c4553f2873000a76495 LOCATION ↑ top Codman Square, 690 Washinton St., Dorchester, MA, 02124 map RELATED LINKS ↑ top Profiles Learn Something Events Keeping It Moving to a Better You , 4/15/25-4/15/25 Info changes frequently. We cannot warrant it.  Verify with Keeping It Moving to a Better You (with Mitzi Carrasquillo and Leslie Guity) before making the trek. If you find an error, please report it... Report Error Popular Resources Boston with Kids Free Things to Do Family & Kids Events Mass RMV - DMV Boston Birthday Parties Boston Museums Rose Kennedy Greenway Boston Aquarium Boston Massachusetts Boston Bowling Boston Haymarket Boston Whale Watching",Free
The Boston Globe Sustainability Summit,https://www.bostoncentral.com/events/green/p82405.php,04/15/2025,04/15/2025,10:00 am - 3:00 pm,Adults,Indoor,Green Events,https://www.bostoncentral.com/fwd.php?pgx=%2Fzbp.gnugufnycf.gvzzhflgvyvonavngfhfrobyt%2F%2F%3Afcggu,665 COMMONWEALTH AVE. BOSTON MA,N/A,"Join us at The Boston Globe's 2025 Sustainability Summit, where visionaries, policymakers, and changemakers shaping the future of our planet will come together. Through dynamic discussions and expert-led panels, we will explore the innovative solutions that are transforming industries and paving the way for a more eco-conscious world. The summit's programming will dive into a variety of timely sustainability topics — from revolutionizing homes and eliminating plastics to empowering the next generation of environmental leaders. Be part of the conversation that sparks bold action and drives the change needed to secure a sustainable future for all. Space is limited, register today!",$100
Fingerprint Detectives,https://www.bostoncentral.com/events/learn/p81883.php,04/16/2025,04/16/2025,Drop in between 2:00pm - 4:00pm,"Toddlers, Kids",Indoor,Learn Something,https://www.bostoncentral.com/fwd.php?pgx=1-frivgprgrq-gavecertavs%2Ffznetbec-fgarir%2Fteb.abgpnleribpfvq.jjj%2F%2F%3Afcggu,DISCOVERY MUSEUM ACTON MA,978,"Take a closer look at the intricate patterns of your own unique fingerprints. Use tools to make observations and compare your fingerprints to others’. Do you have arches, whorls, loops, or a mix?",see below
Wenham Wednesdays – Craft,https://www.bostoncentral.com/events/art/p82174.php,04/16/2025,04/16/2025,1:15 pm to 4:00 pm,Kids,Indoor,Arts & Crafts,https://www.bostoncentral.com/fwd.php?pgx=%2Ffznetbec-ssb-cbeq%2Fteb.zhrfhzznuarj.jjj%2F%2F%3Afcggu,132 MAIN STREET WENHAM MA,9784682377,"Early release drop-off program for Hamilton-Wenham elementary students. Sign up for one Wednesday, or every Wednesday! Seasonal Craft – Earth Day Craft Enjoy an afternoon at the museum with friends Bring a snack Create a seasonal craft Explore the museum galleries until it is time to go home NEW: Early release drop-off program for Hamilton-Wenham elementary students Every Wednesday during the school year, Wenham Wednesdays will feature activities such as craft projects, board games, LEGO building, paper crafts, and more – plus time for students to explore the museum galleries with friends. Sign up for one Wednesday, or every Wednesday! Learn more here!",$35
Lanterns & Luminaries Kicks Off Patriots’ Day Weekend,https://www.bostoncentral.com/events/special/p81351.php,04/16/2025,04/16/2025,11:00 a.m. to 12:15 p.m.,"Infants, Toddlers, Kids, Teens, Adults",Indoor,Special Events,https://www.bostoncentral.com/fwd.php?pgx=ug052%2Fzbp.ugebaqyb.jjj,193 SALEM STREET BOSTON MA,N/A,"BOSTON – To commemorate the 250th anniversary of the iconic “two if by sea” lantern signals that heralded the American Revolution, Old North Illuminated will kick off Patriots’ Day weekend with a special event, Lanterns and Luminaries. Set for Wednesday, April 16 at Old North Church & Historic Site, the annual event will honor award-winning filmmaker Ken Burns with the prestigious Third Lantern Award. This recognition celebrates individuals who exemplify the values symbolized by Old North Church’s legendary lanterns—leadership, courage, hope, tenacity, and active citizenship. The award ceremony precedes a preview event for Burns’s eagerly awaited film, The American Revolution, that evening in Boston. The event will feature a seated program from 11 a.m. to 12:15 p.m. including a dramatic reading of “Paul Revere’s Ride” in celebration of the anniversary, along with inspiring remarks from Burns, a short clip from his new documentary, festive music, and a look ahead at the Patriots’ Day festivities in the North End. Tickets to the program are available for purchase in advance for $40. For more details and to register, visit www.oldnorth.com/250th . Looking for more Patriots Day events and things to do ?  Peruse our handy guide for lots more ideas and insider tips to enjoying this unique Massachusetts holiday. Find more 250th Anniversary of the American Revolution Events taking place in Massachusetts in our handy guide.",$40.00
LGBTQIA+ Singer-Songwriter Concert,https://www.bostoncentral.com/events/music/p81859.php,04/16/2025,04/16/2025,7:00 pm onwards,"Kids, Teens, Adults",Indoor,Music & Concerts,https://www.bostoncentral.com/fwd.php?pgx=gerpabp-ergvejtabf-ertavf-nvdgoty%2Ffgarir%2F939-rsnp-zbbe-qre%2Fhqr.rryxero.jjj%2F%2F%3Afcggu,939 BOYLSTON ST BOSTON MA,617,"Sexuality and Gender Alliance (SAGA) and Berklee Theater Arts Collaborative (BTAC) co-sponsor the LGBTQIA+ Singer-Songwriter Concert, followed by a LGBTQIA+ social afterwards in the William Davis room in the 150 Mass Ave building. Come experience the joy on April 16 @7 pm at The Red Room! Free entry. Don't miss out on this!",Free
Wenham Wednesday - Craft,https://www.bostoncentral.com/events/art/p82047.php,04/16/2025,04/16/2025,1:15 pm - 4:00 pm,Kids,Indoor,Arts & Crafts,https://www.bostoncentral.com/fwd.php?pgx=%2F42-flnqfraqrj-znuarj%2Fgarir%2Fteb.zhrfhzznuarj.jjj%2F%2F%3Afcggu,"WENHAM MUSEUM, 132 MAIN STREET WENHAM MA",N/A,"Early release drop-off program for Hamilton-Wenham elementary students. Sign up for one Wednesday, or every Wednesday! Seasonal Craft – Earth Day Craft • Enjoy an afternoon at the museum with friends • Bring a snack • Create a seasonal craft • Explore the museum galleries until it is time to go home NEW: Early release drop-off program for Hamilton-Wenham elementary students Every Wednesday during the school year, Wenham Wednesdays will feature activities such as craft projects, board games, LEGO building, paper crafts, and more – plus time for students to explore the museum galleries with friends. Sign up for one Wednesday, or every Wednesday!",$$see below
